ZIP Code,Territory,TNT,UDS Zone
46614,Griffith,1 Day ,5
46988,Griffith,1 Day ,5
46350,Griffith,1 Day ,5
46382,Griffith,1 Day ,5
46619,Griffith,1 Day ,5
46601,Griffith,1 Day ,5
46544,Griffith,1 Day ,5
46561,Griffith,1 Day ,5
46628,Griffith,1 Day ,5
46534,Griffith,1 Day ,5
46340,Griffith,1 Day ,5
46360,Griffith,1 Day ,5
46613,Griffith,1 Day ,5
46545,Griffith,1 Day ,5
46978,Griffith,1 Day ,5
46391,Griffith,1 Day ,5
46617,Griffith,1 Day ,5
46615,Griffith,1 Day ,5
46635,Griffith,1 Day ,5
46637,Griffith,1 Day ,5
46556,Griffith,1 Day ,5
46616,Griffith,1 Day ,5
46985,Griffith,1 Day ,5
46304,Griffith,1 Day ,5
46390,Griffith,1 Day ,5
46530,Griffith,1 Day ,5
46947,Griffith,1 Day ,5
46348,Griffith,1 Day ,5
46374,Griffith,1 Day ,5
46368,Griffith,1 Day ,5
60649,Griffith,1 Day ,5
60637,Griffith,1 Day ,5
60619,Griffith,1 Day ,5
60621,Griffith,1 Day ,5
60636,Griffith,1 Day ,5
60620,Griffith,1 Day ,5
60419,Griffith,1 Day ,5
60617,Griffith,1 Day ,5
46394,Griffith,1 Day ,5
46320,Griffith,1 Day ,5
46312,Griffith,1 Day ,5
46406,Griffith,1 Day ,5
46402,Griffith,1 Day ,5
46403,Griffith,1 Day ,5
46342,Griffith,1 Day ,5
46405,Griffith,1 Day ,5
46407,Griffith,1 Day ,5
46404,Griffith,1 Day ,5
46323,Griffith,1 Day ,5
46327,Griffith,1 Day ,5
60633,Griffith,1 Day ,5
60643,Griffith,1 Day ,5
60628,Griffith,1 Day ,5
60409,Griffith,1 Day ,5
46324,Griffith,1 Day ,5
46322,Griffith,1 Day ,5
46408,Griffith,1 Day ,5
46409,Griffith,1 Day ,5
46410,Griffith,1 Day ,5
46319,Griffith,1 Day ,5
46375,Griffith,1 Day ,5
60438,Griffith,1 Day ,5
60473,Griffith,1 Day ,5
60827,Griffith,1 Day ,5
