zipcode,sortcode,carrier,service,max_weight,shipper_id,options.injectionName,options.injectionAddress.address1,options.injectionAddress.city,options.injectionAddress.state,options.injectionAddress.zip,options.injectionAddress.country
75359,,LSO,Ground,2400,,,,,,,
75360,,LSO,Ground,2400,,,,,,,
75363,,LSO,Ground,2400,,,,,,,
75364,,LSO,Ground,2400,,,,,,,
75367,,LSO,Ground,2400,,,,,,,
75368,,LSO,Ground,2400,,,,,,,
75370,,LSO,Ground,2400,,,,,,,
75371,,LSO,Ground,2400,,,,,,,
75372,,LSO,Ground,2400,,,,,,,
75373,,LSO,Ground,2400,,,,,,,
75374,,LSO,Ground,2400,,,,,,,
75376,,LSO,Ground,2400,,,,,,,
75378,,LSO,Ground,2400,,,,,,,
75379,,LSO,Ground,2400,,,,,,,
75380,,LSO,Ground,2400,,,,,,,
75381,,LSO,Ground,2400,,,,,,,
75382,,LSO,Ground,2400,,,,,,,
75386,,LSO,Ground,2400,,,,,,,
75387,,LSO,Ground,2400,,,,,,,
75388,,LSO,Ground,2400,,,,,,,
75389,,LSO,Ground,2400,,,,,,,
75390,,LSO,Ground,2400,,,,,,,
75391,,LSO,Ground,2400,,,,,,,
75392,,LSO,Ground,2400,,,,,,,
75393,,LSO,Ground,2400,,,,,,,
75394,,LSO,Ground,2400,,,,,,,
75395,,LSO,Ground,2400,,,,,,,
75396,,LSO,Ground,2400,,,,,,,
75397,,LSO,Ground,2400,,,,,,,
75398,,LSO,Ground,2400,,,,,,,
75401,,LSO,Ground,2400,,,,,,,
75402,,LSO,Ground,2400,,,,,,,
75403,,LSO,Ground,2400,,,,,,,
75404,,LSO,Ground,2400,,,,,,,
75407,,LSO,Ecom,2400,,,,,,,
75409,,LSO,Ecom,2400,,,,,,,
75410,,LSO,Ground,2400,,,,,,,
75411,,LSO,Ground,2400,,,,,,,
75412,,LSO,Ground,2400,,,,,,,
75413,,LSO,Ground,2400,,,,,,,
75414,,LSO,Ground,2400,,,,,,,
75415,,LSO,Ground,2400,,,,,,,
75416,,LSO,Ground,2400,,,,,,,
75417,,LSO,Ground,2400,,,,,,,
75418,,LSO,Ground,2400,,,,,,,
75420,,LSO,Ground,2400,,,,,,,
75421,,LSO,Ground,2400,,,,,,,
75422,,LSO,Ground,2400,,,,,,,
75423,,LSO,Ground,2400,,,,,,,
75424,,LSO,Ground,2400,,,,,,,
75425,,LSO,Ground,2400,,,,,,,
75426,,LSO,Ground,2400,,,,,,,
